name,addr
파모스라움 해법독서,"충북 청주시 상당구 수영로 180 (영운동, 파모스라움)"
용암해법독서논술교실,"충북 청주시 상당구 월평로 161 (용암동, 건영아파트)"
미아한일교실,"서울 강북구 오패산로60길 21 (미아동, 한일아파트)"
석관그랑빌교실,"서울 성북구 한천로72길 24-8 (석관동, 한솔그랑빌)"
화성병점교실,"경기 화성시 병점서로 8 (병점동, 남수원두산아파트)"
석동그린빌교실,"경남 창원시 진해구 석동로 60 (석동, 벚꽃그린빌 주공3단지)"
평택안중건영교실,"경기 평택시 안중읍 안현로서9길 164-9 (현화리, 이화마을 건영캐스빌)"
김정은국어논술교실,광주 남구 봉선동 550-9
'생각의 숲' 해법독서,충남 아산시 용화동 1394
동투호투교실,"경기 화성시 동탄대로시범길 122 (청계동, 시범호반베르디움)"
한라 국어 논술교실,"충북 청주시 청원구 오창읍 오창중앙로 94 (각리, 한라비발디아파트)"
윤명상 국어논술학원,대전 유성구 반석동 638-8
두정 해법독서논술,"충남 천안시 서북구 봉정로 365 (두정동, 대우1차아파트)"
서강 해법독서논술,충남 아산시 둔포면 둔포로38번길 3 (둔포리)
김쌤해법독서논술,"충남 계룡시 장안1길 9 (금암동, 신성미소지움1차아파트)"
번동한양교실,"서울 강북구 한천로109길 69 (번동, 한양아파트)"
초월도곡,경기 광주시 초월읍 도곡길 22 (쌍동리)
초월도평,"경기 광주시 초월읍 현산로 82 (도평리, 동희빌딩)"
한명화독서논술,광주 동구 산수동 536-19
기흥청덕교실,경기 용인시 기흥구 청덕동 491-19
홍천미담교실,강원 홍천군 홍천읍 마지기로 30 (희망리)
대원공부방,"충북 청주시 청원구 율량로 103 (주성동, 대원칸타빌1단지아파트)"
대명글수레,대구 남구 대명동 1641-17
한빛누마루교실,"경기 파주시 한빛로 70 (야당동, 한빛마을5단지 캐슬&칸타빌)"
칠곡 SDL,대구 북구 동천로24길 5 (동천동)
감지영 해법독서논술,"충남 천안시 서북구 불당4로 39-35 (불당동, 영재바둑교실)"
맨투맨여주,"경기 여주시 세종로 204-5 (교동, 한마음학원)"
김해 어방교실,"경남 김해시 인제로 167 (어방동, 대우유토피아아파트)"
화도뜨레빌,경기 남양주시 화도읍 묵현리 575-4
김경미논술국어,서울 노원구 월계동 435-10
김제 검산교실,전북 김제시 동서로 300 (신풍동)
한나샘국어교습소,경기 광주시 송정로 64 (탄벌동)
감천유림1,"부산 사하구 감천로 24 (감천동, 유림1차아파트)"
삼성5차교실,"경기 용인시 수지구 진산로 90 (풍덕천동, 진산마을삼성래미안5차아파트)"
천진교실,경남 함안군 칠북면 검단2길 21 (검단리)
비손해법독서논술,충남 천안시 서북구 한들3로 78-23 (백석동)
다온세실교실,"충북 청주시 서원구 쌍샘로107번길 12 (모충동, 금호타운아파트)"
생각이 자라는 교실,"경북 경산시 남매로6길 7 (상방동, 상방주공아파트)"
죽동,대전 유성구 죽동 695-4
쉐마학원,"경기 안양시 동안구 호성로 49 (호계동, 두성상가)"
빛글,"충남 천안시 서북구 불당11로 68 (불당동, 한성아파트)"
한양수자인,경기 수원시 권선구 호매실동 1342
지우국어논술교실,"경기 용인시 기흥구 죽전로 52 (보정동, 훼미리프라자)"
